location,positionName,minimum salary,maximum salary, average salary ,searchInput/country,searchInput/position,city name,salary_status
"Basking Ridge, NJ",Principal AI Scientist (Deep Learning Focus),"1,20,500","2,31,000"," $1,75,750.00 ",United States of America,Data Scientist,Basking Ridge,Available
"San Diego, CA",Senior Machine Learning Engineer,"1,59,100","2,38,700"," $1,98,900.00 ",United States of America,Data Scientist,San Diego,Available
"East Hanover, NJ 07936","AD, Emerging Data Products","1,32,300","2,45,700"," $1,89,000.00 ",United States of America,Data Scientist,East Hanover,Available
"Cupertino, CA",Machine Learning Algorithm Validation Engineer,"1,36,300","2,48,700"," $1,92,500.00 ",United States of America,Data Scientist,Cupertino,Available
"Columbia, MD",Senior Data Scientist,,,,United States of America,Data Scientist,Columbia,Missing
"Buffalo, NY",Advanced Machine Learning Ops Engineer (Advanced Materials),"1,32,000","1,98,000"," $1,65,000.00 ",United States of America,Data Scientist,Buffalo,Available
"Indianapolis, IN 46077",Evidence Lead (AI models),"1,31,100","2,43,500"," $1,87,300.00 ",United States of America,Data Scientist,Indianapolis,Available
"Columbia, MD",Data Scientist,"2,10,000","2,60,000"," $2,35,000.00 ",United States of America,Data Scientist,Columbia,Available
"Annapolis Junction, MD 20701","Artificial Intelligence/Machine Learning Engineer, Lead",84.14,96.16," $1,87,200.00 ",United States of America,Data Scientist,Annapolis Junction,Available
"Arlington, VA","Senior Delivery Consultant- GenAI/ML, AWS, Industries","1,38,200","2,39,000"," $1,88,600.00 ",United States of America,Data Scientist,Arlington,Available
"Charlotte, NC 28206",AI Engineer,,,,United States of America,Data Scientist,Charlotte,Missing
"Oak Park, IL 60301",Gen AI Architect,,,,United States of America,Data Scientist,Oak Park,Missing
"Foster City, CA",Data Scientist,"1,29,400","1,82,750"," $1,56,075.00 ",United States of America,Data Scientist,Foster City,Available
"San Diego, CA","Principal Applied Scientist, Advertising General Intelligence","1,79,000","3,09,400"," $2,44,200.00 ",United States of America,Data Scientist,San Diego,Available
"New York, NY","Senior Scientist, Shopping","1,83,000","2,03,000"," $1,93,000.00 ",United States of America,Data Scientist,New York,Available
"Bala-Cynwyd, PA 19004",Sr Manager Data Science,,,,United States of America,Data Scientist,Bala-Cynwyd,Missing
"Charlotte, NC",Artificial Intelligence Solutions Consultant - Conversational Architect,"96,600","2,06,100"," $1,51,350.00 ",United States of America,Data Scientist,Charlotte,Available
"Seattle, WA 98105","Senior Data Scientist - System Intelligence and Machine Learning, ISE","1,66,600","2,50,600"," $2,08,600.00 ",United States of America,Data Scientist,Seattle,Available
"New York, NY 10017",Design Strategist III - Artificial Intelligence,"1,11,600","1,78,600"," $1,45,100.00 ",United States of America,Data Scientist,New York,Available
United States,AI & Emerging Technology Strategist,,,,United States of America,Data Scientist,United States,Missing
"Overland Park, KS 66251",AI Strategy Manager,"81,800","1,47,500"," $1,14,650.00 ",United States of America,Data Scientist,Overland Park,Available
"New York, NY","Staff Software Engineer, BigQuery, Generative AI","1,97,000","2,91,000"," $2,44,000.00 ",United States of America,Data Scientist,New York,Available
"Sunnyvale, CA","Data Center Mechanical Engineer - Sunnyvale, Austin or Kirkland","1,44,000","2,11,000"," $1,77,500.00 ",United States of America,Data Scientist,Sunnyvale,Available
